StudentID,Name,Department,Math,Science,English,Attendance,Average,Total,Grade
101,Alice,CSE,85,90,88,95,87.66666666666667,263,B
102,Bob,AI,78,82,80,90,80.0,240,B
103,Charlie,CSE,92,91,89,98,90.66666666666667,272,A
104,David,ECE,65,70,68,85,67.66666666666667,203,D
105,Eva,AI,88,85,90,97,87.66666666666667,263,B
106,Frank,ECE,72,75,70,88,72.33333333333333,217,C
107,Grace,CSE,95,94,96,99,95.0,285,A
108,Henry,AI,81,79,84,92,81.33333333333333,244,B
109,Ivy,ECE,69,73,71,86,71.0,213,C
110,Jack,CSE,87,89,85,96,87.0,261,B
