OrderID,Customer,City,Category,Product,Quantity,Price,Date,Revenue
1001,Alice,Chennai,Electronics,Laptop,1,55000,2026-01-10,55000
1002,Bob,Coimbatore,Furniture,Chair,4,2500,2026-01-12,10000
1003,Charlie,Bangalore,Electronics,Mouse,3,700,2026-01-15,2100
1004,David,Chennai,Furniture,Table,2,8000,2026-01-18,16000
1005,Eva,Madurai,Electronics,Keyboard,5,1200,2026-01-19,6000
1006,Frank,Coimbatore,Electronics,Monitor,2,15000,2026-01-20,30000
1007,Grace,Bangalore,Furniture,Sofa,1,35000,2026-01-22,35000
1008,Henry,Chennai,Electronics,Headphones,6,2500,2026-01-24,15000
1009,Ivy,Madurai,Furniture,Cupboard,1,18000,2026-01-25,18000
1010,Jack,Coimbatore,Electronics,Laptop,2,55000,2026-01-28,110000
1011,Kate,Chennai,Furniture,Chair,8,2500,2026-02-02,20000
1012,Liam,Bangalore,Electronics,Monitor,1,15000,2026-02-05,15000
